Headline,Content,Image,Url
"Cancer Horoscope Today for March 26, 2026: Planning to trade abroad? Steady results may arrive sooner than expected","Cancer (Jun 22-Jul 22) Daily Horoscope Prediction says, Settle tremors with a positive note Settle the love issues today, and also consider new opportunities at work that will add value to your profile. Financial prosperity is another takeaway. Cancer Horoscope Today: Read our expert astrological predictions to find out what the stars have in store for you. Troubleshoot the romance-related issues and spend more time together with your lover. You are good at the office. Wealth will come in, and health is also good today. Cancer Love Horoscope Today Stay happy in the love affair. You must be ready to compromise on egos today. Those who are new in the relationship must also be careful not go back to the ex-lover, which may complicate things. Married females may also consider expanding the family. The second part of the day is good to introduce the lover to the parents. Those who are fighting legally over a separation can expect positive news. Cancer Career Horoscope Today Be cool at the workplace. You will see new tasks today. Those who hold crucial responsibilities may need to spend more hours in meetings and decision-making today. Your communication skills will work out in crucial discussions and negotiations with clients. A good business developer should also come up with innovative ideas today. Students waiting for admission to foreign universities will receive positive news. Businessmen looking for better opportunities to augment their territory will find success. Cancer Money Horoscope Today Wealth will come in today. You may pick the first part of the day to settle a financial issue with a friend, while the second part is good to buy electronic appliances and vehicles. You may also consider donating money to charity. Businessmen involved in foreign trade will see good investment from abroad. A financial expert can guide you on wealth management. Cancer Health Horoscope Today Do not discuss the office at home, and always maintain a balance between the job and personal life. Those who have a history of cardiac ailments must be careful while lifting heavy objects. Some seniors will complain about breathing issues in the morning and may also suffer pain in their joints. Children may also develop bruises while playing. You may require consulting a doctor for ear or eye-related infections. Cancer Sign Attributes Strength: Intuitive, Practical, Kind, Energetic, Artsy, Dedicated, Benevolent, Caring Weakness: Insatiable, Possessive, Prudish Symbol: Crab Element: Water Body Part: Stomach & Breast Sign Ruler: Moon Lucky Day: Monday Lucky Color: White Lucky Number: 2 Lucky Stone: Pearl Cancer Sign Compatibility Chart Natural affinity: Taurus, Virgo, Scorpio, Pisces Good compatibility: Cancer, Capricorn Fair compatibility: Gemini, Leo, Sagittarius, Aquarius Less compatibility: Aries, Libra By: Dr. J. N. Pandey Vedic Astrology & Vastu Expert Website: www.astrologerjnpandey.com E-mail: djnpandey@gmail.com Phone: 91-9811107060 (WhatsApp Only)",https://www.hindustantimes.com/ht-img/img/2026/03/25/400x225/Cancer_anime_1774037313793_1774037317662_1774440468627.jpg,https://www.hindustantimes.com/astrology/horoscope/cancer-daily-horoscope-today-for-march-26-2026-planning-to-trade-abroad-steady-results-may-arrive-sooner-than-expected-101774440320987.html
"From rooftop bars to pubs, here’s where Delhi‑NCR fans can watch the IPL 2026","While IPL season 2026 is around the corner, anticipation is buzzing among every cricket fan. Whether you are an avid cricket fan or just a team supporter, watching matches and cheering for your favourite player seems like a worthy moment. Ahead of the IPL season 2026, here’s a roundup of the best places in Delhi NCR where you can experience all those special moments of IPL when your favourite player hits a boundary. Apart from the best screening, these places also offer interactive experiences for every cricket fan. Best places to catch IPL screenings in Delhi NCR. (Freepik) ​Also read | Planning IPL outings? Here are the best places to watch the 2026 season in Bengaluru 1. DoubleTree By Hilton, Gurugram Baani Square DoubleTree By Hilton features The Fashion Bar and Vibe - The Sky Bar, where the electrifying thrill of live stadium action comes alive. Fans can engross themselves in IPL Fever with a seamless lounge transformation that fuses roaring cricket fervour with vibrant socialising. Fans can experience non-stop excitement with large-screen IPL match screenings, crystal-clear stadium audio, and interactive zones like a photo booth with authentic cricket gear to capture and share the moments.",https://www.hindustantimes.com/ht-img/img/2026/03/26/400x225/2147824800_1774526655330_1774526665196.jpg,https://www.hindustantimes.com/lifestyle/travel/from-rooftop-bars-to-pubs-here-s-where-delhi-ncr-fans-can-watch-the-ipl-2026-101774526332695.html
"Kolkata Knight Riders IPL 2026 Full Schedule: List of KKR fixtures with match dates, venues, and timings","Kolkata Knight Riders enter the IPL 2026 season looking to bounce back to their 2024 form, but it’s a season of big changes. No more Andre Russell for the Knights, which might denote the end of an era. But this is a squad mixed with experience and exciting youth, which sets them up for a season where they could cause big damage if they find their groove. Varun Chakravarthy and RInku Singh headline KKR's roster in 2026. (ANI Photo) With their fortress at the Eden Gardens, the team led by Ajinkya Rahane will know that strong home form will be essential to any sort of success this season. Although they start on the road, they have a hat-trick of matches on home turf to see out phase one of the season, and that might be enough to give them a winning start and set up the remainder of the season. The first assignment for KKR will be a visit to the Wankhede Stadium for a match against old enemies Mumbai Indians. It is a funny match in terms of what it could entail – in the history of the IPL, KKR have played against Mumbai at the Wankhede on 11 occasions, and won on just 2 occasions. Funnily enough, those two encounters – first in 2012 and then in 2024 – have been in seasons where Kolkata have gone on to win the tournament. Given MI’s horrible record in opening games – they haven’t won their first match since 2012 – this could be a beautiful omen for KKR fans. Following that, it’s back home to Kolkata and the Eden Gardens for a three-game homestand in the space of a week. First for them will be a rematch of that 2024 final, two familiar opponents, as the super-powerful SRH team visit with a point to prove. Following that will be Punjab Kings, who had a couple of big encounters and whose match will be defined by the return of PBKS captain Shreyas Iyer to the team he captained to the trophy. Lastly in this first group of matches, Lucknow Super Giants visit KKR on 9th April. KKR will end the season with three consecutive home matches, against GT, MI, and DC – a big finish to the season at Eden Gardens, where KKR will hope to use home advantage to pull off big results. KKR’s schedule for IPL 2026 29/03 – Mumbai Indians vs KKR, Mumbai, 7:30 PM 02/04 – KKR vs Sunrisers Hyderabad, Kolkata, 7:30 PM 06/04 – KKR vs Punjab Kings, Kolkata, 7:30 PM 09/04 – KKR vs Lucknow Super Giants, Kolkata, 7:30 PM 13/04 – Rajasthan Royals vs KKR, Guwahati, 7:30 PM 17/04 – Gujarat Titans vs KKR, Ahmedabad, 7:30 PM 19/04 – KKR vs Rajasthan Royals, Kolkata, 3:30 PM 26/04 – KKR vs Lucknow Super Giants, Lucknow, 7:30 PM 03/05 – Sunrisers Hyderabad vs KKR, Hyderabad, 3:30 PM 08/05 – Delhi Capitals vs KKR, Delhi, 7:30 PM 13/05 – Royal Challengers Bengaluru vs KKR, Raipur, 7:30 PM 16/05 – KKR vs Gujarat Titans, Kolkata, 7:30 PM 20/05 – KKR vs Mumbai Indians, Kolkata, 7:30 PM 24/05 – KKR vs Delhi Capitals, Kolkata, 7:30 PM",https://www.hindustantimes.com/ht-img/img/2026/03/12/400x225/ANI-20250507521-0_1746666928931_1773305175144.jpg,https://www.hindustantimes.com/cricket/kolkata-knight-riders-ipl-2026-full-schedule-list-of-kkr-fixtures-with-match-dates-venues-and-timings-101773305087179.html
"Dhurandhar 2 box office collection day 8 (updated live): Ranveer Singh film races past  ₹655 crore, beats Stree 2, Jawan","Dhurandhar 2 box office collection day 8: After the mayhem it created over its opening weekend, Aditya Dhar ’s Dhurandhar 2 slowed down at the box office during the weekdays. However, the momentum it has carried from the first four days means it is still crossing ₹ 40 crore every single day. As a result, it is set to end its opening week as the second-highest-grossing Hindi film in India, behind only the first Dhurandhar. Dhurandhar 2 box office collection day 8: Ranveer Singh in the film. Dhurandhar 2 Thursday box office collection (till 8 PM) Dhurandhar: The Revenge collected ₹ 43 crore in paid previews last Wednesday, followed by a mega opening of ₹ 102 crore. The film went on to register two more ₹ 100+ crore days, followed by the biggest Monday in Indian cinema history. The pace was finally slowed down after Tuesday. On Wednesday, the film’s collections dipped by 15% to around ₹ 48 crore. This took its domestic haul to ₹ 623 crore. On Thursday, the Ranveer Singh -starrer started strongly again, aided by the Ram Navami holiday in various parts of the country. According to Sacnilk, the morning shows registered occupancy of almost 25%, very healthy for a mid-week morning. By 8 PM, the film had earned ₹ 35.52 crore net on the day, taking its domestic haul to an impressive ₹ 659.49 crore net in its first week. Dhurandhar 2 beats Stree 2, Jawan On Wednesday, Dhurandhar 2 breached the ₹ 600-crore mark, becoming only the fifth Bollywood film to do so. In the process, it also outgrossed Vicky Kaushal’s Chhaava ( ₹ 601 crore) at the domestic box office. On Thursday, it continued the solid run, eclipsing the lifetime haul of horror-comedy Stree 2 ( ₹ 627 crore) in the morning itself. Just after 3 PM, it also surpassed the final domestic earnings of Shah Rukh Khan’s biggest hit, Jawan ( ₹ 643 crore). Now, only one Bollywood film stands ahead of Dhurandhar 2 in domestic earnings - the film’s part 1 itself. Released in December, Dhurandhar set new industry benchmarks with its ₹ 895 crore haul in India. All about Dhurandhar 2 Apart from Ranveer Singh, Dhurandhar 2 also stars R Madhavan, Arjun Rampal, Sanjay Dutt, Sara Arjun, and Rakesh Bedi. Directed by Aditya Dhar, the spy thriller released on March 19. The first Dhurandhar earned ₹ 1300 crore worldwide and is still playing in theatres three months after its December release. The sequel is poised to do even better. Many trade pundits are betting on it to break Dangal’s all-time record of ₹ 2070 crore.",https://www.hindustantimes.com/ht-img/img/2026/03/26/400x225/Dhurandhar_2_box_office__1774519004916_1774519005082.jpeg,https://www.hindustantimes.com/entertainment/bollywood/dhurandhar-2-box-office-collection-day-8-ranveer-singh-aditya-dhar-film-650-crore-stree-2-jawan-bollywood-101774518705804.html
"Strong 6.5-magnitude earthquake strikes off Japan’s Sanriku coast, no immediate damage reported","A strong earthquake of magnitude 6.5 struck off the coast of Sanriku in northern Japan, around 122 km east of Yamada on Thursday. The quake occurred at a depth of about 9.5 to 10 km, according to data from the United States Geological Survey (USGS) and the Japan Meteorological Agency (JMA), indicating a relatively shallow tremor that could be felt across parts of north-eastern Japan. The quake, felt widely, raised concerns about potential aftershocks and safety measures in the region. (REUTERS) The German Research Centre for Geosciences (GFZ) reported a slightly lower magnitude of 6.2, stating that the earthquake struck off the east coast of Honshu at a depth of 10 km, as per a Reuters report. Meanwhile, the JMA said the tremor occurred at 23:18 local time and registered a maximum seismic intensity of four on Japan’s scale, suggesting moderate shaking in affected areas but limited likelihood of major damage. Other agencies also provided varying assessments of the quake. India’s National Center for Seismology (NCS) recorded the event as a magnitude 6.3 earthquake at 7:48 PM IST, placing its epicentre in the North Pacific Ocean at a depth of 60 km, approximately 517 km northeast of Tokyo. Despite the differences in magnitude and depth estimates, all agencies confirmed the quake originated offshore, reducing the immediate risk to densely populated areas. There were no immediate reports of casualties or significant damage following the earthquake, and no tsunami warning had been issued at the time of reporting. Authorities in Japan are closely monitoring the situation for aftershocks.",https://www.hindustantimes.com/ht-img/img/2026/03/26/400x225/Reute_1774536586062_1774536586186.jpg,https://www.hindustantimes.com/world-news/japan-hit-by-earthquake-of-magnitude-6-5-off-honshu-coast-101774536279679.html
---,---,---,---
---,---,---,---
BCCI announces schedule for India’s 2026-27 home season; venues declared for next year’s Border-Gavaskar Trophy,"The Indian men’s cricket team will play 22 matches across 17 venues after the Board of Control for Cricket (BCCI) in India on Thursday unveiled the detailed schedule for the 2026-27 home season. The campaign will get underway in September with a limited-overs series against the West Indies. Following India’s tour of New Zealand, which will feature two Tests, three ODIs and five T20Is, the home leg will resume, building up to the marquee Border-Gavaskar Trophy, scheduled from January 21 to March 3 next year. A packed itinerary awaits India's ODI and Test captain Shubman Gill (AFP) India’s busy home season will also feature white-ball series against Zimbabwe and Sri Lanka, scheduled around the tours of West Indies and Australia. West Indies’ tour of India will comprise three ODIs followed by five T20Is. The ODI leg will be played in Trivandrum, Guwahati and Mullanpur, before the action shifts to the T20Is in Lucknow, Ranchi, Indore, Hyderabad and Bengaluru. In December 2026, India will host Sri Lanka for another white-ball series featuring three ODIs and three T20Is. The ODIs will be held in Delhi, Bengaluru and Ahmedabad, while Rajkot, Cuttack and Pune will stage the T20Is. At the start of the new year, Zimbabwe will be in India for a three-match ODI series in January 2027, with games lined up in Kolkata, Hyderabad and Mumbai. The season will wrap up with the highly anticipated Border-Gavaskar Trophy, a five-match Test series against Australia, beginning in Nagpur. The series will then move to Chennai, Guwahati, Ranchi and Ahmedabad, setting the stage for a compelling contest between two of the game’s premier sides. Interestingly, Kolkata – venue of the iconic 2001 Test – has not hosted an India-Australia Test since.",https://www.hindustantimes.com/ht-img/img/2026/03/26/400x225/gill_test_1774515981833_1774515987721.jpg,https://www.hindustantimes.com/cricket/bcci-announces-schedule-for-india-s-2026-27-home-season-venues-declared-for-next-year-s-border-gavaskar-trophy-101774515870466.html
---,---,---,---
---,---,---,---
"Royal Challengers Bengaluru IPL 2026 Full Schedule: List of RCB matches with dates, venues, and timings","After Royal Challengers Bengaluru ended their long trophy drought with a famous inaugural IPL victory in 2025, talisman Virat Kohli laid down the gauntlet and made extremely clear what the ambition for the fresh year is: do it all over again, and this time, lift the trophy on home turf at the M Chinnaswamy Stadium. IPL 2025, Qualifier 1 PBKS vs RCB IPL Live Updates, Punjab Kings vs Royal Challengers Bengaluru: PBKS face RCB in Qualifier 1. (PTI) Heading into 2026, there are some complications regarding RCB’s home turf. The fatal and tragic stampede and chaos during their title celebrations has forced the KSCA to put the Chinnaswamy on hold as an international venue, meaning it lost matches during both the Women’s ODI and the Men’s T20I World Cups and those successful campaigns at home. Even now, IPL matches taking place at the ground where it all started is up in the air. In the BCCI’s official statement, they noted the following: “The matches scheduled in Bengaluru are subject to clearance from the Expert Committee constituted by the Government of Karnataka. The committee will conduct a meeting and inspection of the M. Chinnaswamy Stadium on March 13, 2026, during which a full-scale mock demonstration of match-day arrangements will be carried out to assess the stadium’s preparedness for hosting IPL matches.” RCB's schedule in IPL 2026 With that in mind, the defending champions have been slated to kick off the IPL season, as has been tradition in this tournament. They are set to begin proceedings for the season on 28 March, when they host Sunrisers Hyderabad in what should be a lip-smacking power-vs-power contest with extreme quality on both sides. Following a decent eight-day break early in their schedule, next up at home will be the IPL’s Great Southern Derby, as Chennai Super Kings come visiting – with MS Dhoni vs Virat Kohli battles growing rarer and rarer, a must-watch for all. Following this, it’s a long roadtrip to the northeast, up to Guwahati where Rajasthan Royals will host them, and then back down to the southwest where the Wankhede Stadium will welcome the defending champions. RCB's last match in Bengaluru will take place on 24th April against GT, with the remainder of their fixtures split between Raipur and away games. RCB end their season with two matches on the road, first against Punjab Kings in Dharamsala, then travelling to Hyderabad to face SRH. RCB’s IPL 2026 full schedule 28/03 – RCB vs Sunrisers Hyderabad, Bengaluru, 7:30 PM 5/04 – RCB vs Chennai Super Kings, Bengaluru, 7:30 PM 10/04 – Rajasthan Royals vs RCB, Guwahati, 7:30 PM 12/04 – Mumbai Indians vs RCB, Mumbai, 7:30 PM 15/04 – RCB vs Lucknow Super Giants, Bengaluru, 7:30 PM 18/04 – RCB vs Delhi Capitals, Bengaluru, 3:30 PM 24/04 – RCB vs Gujarat Titans, Bengaluru, 7:30 PM 27/04 – Delhi Capitals vs RCB, Delhi, 7:30 PM 30/04 – Gujarat Titans vs RCB, Ahmedabad, 7:30 PM 07/05 – Lucknow Super Giants vs RCB, Lucknow, 7:30 PM 10/05 – RCB vs Mumbai Indians, Raipur, 7:30 PM 13/0",https://www.hindustantimes.com/ht-img/img/2026/03/12/400x225/PTI04-27-2025-000455A-0_1748525944520_1773294408220.jpg,https://www.hindustantimes.com/cricket/royal-challengers-bengaluru-ipl-2026-schedule-list-of-rcb-matches-with-dates-venues-and-timings-101773294171201.html
"Gujarat Titans IPL 2026 full schedule: List of GT fixtures with match dates, venues and timings","Gujarat Titans had strong IPL 2025 campaign, finishing in third position during the league phase. But then a defeat to Mumbai Indians in the play-offs ended their dreams of reaching a third IPL final. GT won the IPL title in their debut season in 2022, and then they lost to Chennai Super Kings in the 2023 final. During the league phase last year, GT won nine matches and lost five. Gujarat Titans' captain Shubman Gill and Sai Sudharsan will be key in IPL 2026. (Rahul Singh) Led by Shubman Gill, GT will be aiming to put in a dominant show this season too, and open their IPL 2026 campaign against Punjab Kings on March 31 in New Chandigarh. Then they face Rajasthan Royals in their first home game of the season on April 4 in Ahmedabad. Also Read: BCCI set to honour Rahul Dravid for his contribution to Indian cricket GT also decided to retain 20 players and entered the mini-auction with a purse of ₹ 12.90 crore. They spent big on West Indies all-rounder Jason Holder, acquiring him for ₹ 7 crore. Meanwhile, they purchased Tom Banton for ₹ 2 crore. Ashok Sharma, Luke Wood and Prithviraj Yarra were roped in for ₹ 90 lakh, ₹ 75 lakh and ₹ 30 lakh. They let Sherfane Rutherford move to MI on the retention deadline. Before Rutherford, they let go Gerald Coetzee and Dasun Shanaka. Meanwhile, Karim Jannat, Mahipal Lomror and Kulwant Khejroliya were also released. For the new season, the BCCI released fixtures for the first phase of the tournament. The remaining fixtures will be announced in accordance with the election schedules of Tamil Nadu, West Bengal, and Assam. GT's schedule in IPL 2026 GT face last season's runner-up, Punjab Kings, in ther tournament and after that host RR in Ahmedabad for their first home game of the season. After that, GT travels to the national capital for a showdown against KL Rahul's Delhi Capitals. In their last fixture of the first phase, they take on Lucknow Super Giants. GT's first four games of IPL 2026- Punjab Kings vs Gujarat Titans - New Chandigarh (March 31, 2026) Gujarat Titans vs Rajasthan Royals - Ahmedabad (April 4, 2026) Delhi Capitals vs Gujarat Titans - Delhi (April 8, 2026) Lucknow Super Giants vs Gujarat Titans - Lucknow (April 12, 2026)",https://www.hindustantimes.com/ht-img/img/2026/03/12/400x225/ANI-20250518292-0_1748157105010_1773300235314.jpg,https://www.hindustantimes.com/cricket/gujarat-titans-ipl-2026-full-schedule-bcci-indian-premier-league-match-time-table-fixtures-venue-timings-101773300138678.html
"Kolkata, Mumbai overlooked again: BCCI continues to turn a blind eye to India's iconic Test centres","It’s been a little over ten days since the silver jubilee of that Test match was celebrated, with much pomp and fanfare. That Test match, of course, was India versus Australia , a game that seemed headed in only one direction even after the third day before the hosts staged the mother of all comebacks, turning near-certain defeat into one of the most storied triumphs in the five-day game. The BCCI has announced home schedule of India for the upcoming season. (PTI) The venue of that breathtaking outing between 11 and 16 March 2001? The theatre of dreams that answers to the name of Eden Gardens in Kolkata, the City of Joy. Guess what? That remains the last time India have locked horns with their fiercest rivals (the India-Pakistan rivalry is passe, a has-been, not helped by the fact that the teams haven’t played each other in a Test since December 2007) at the Eden, when VVS Laxman and Rahul Dravid and Harbhajan Singh and Sachin Tendulkar (with the ball) pulled off a miracle. If that doesn’t merit a mention in Ripley’s Believe It Or Not, few others do. For what it’s worth, Eden Gardens is in good (if that’s the right word) company; Mumbai’s Wankhede Stadium, which last year turned 50, hasn’t hosted an India-Australia Test since 2004 when, on a veritable minefield, Murali Kartik’s left-arm spin allowed him to outperform senior tweakers Anil Kumble and Harbhajan and bowl India to a consolation victory in the fourth and final Test after the series had already been surrendered. The two marquee series in India, which will potentially come around every two years now, are the five-match showdowns against Australia and England. The last time England were here, between January and March 2024, the Tests were played in Hyderabad, Visakhapatnam, Rajkot, Ranchi and Dharamsala. Nearly 12 months previously, when Australia came calling for four Tests, the venues were Nagpur, New Delhi, Indore and Ahmedabad. Australia are scheduled to travel to India in January next year for their first series of five or more Tests since 1979-80. The staging centres? Nagpur, Chennai, Guwahati, Ranchi and Ahmedabad, which boasts the world's largest cricket stadium. Let’s take a pause, and reflect on these facts. Australia haven’t played a Test in Kolkata since 2001, and in Mumbai since 2004. They won’t in 2027 either. Ahmedabad staged a Test last October (against West Indies) while Guwahati debuted as a Test centre in November, when only a smattering of fans turned up to watch Temba Bavuma’s side consign the Indians to their heaviest defeat by runs in the five-day format. Clearly, you’d think, something was off? India boasts the most number of ‘active’ Test venues in the world. That’s a great development because it shows infrastructural advancement across the length and the breadth of the country. But at a time when Test cricket is perceived to be under threat from the 20-over iteration in the main, isn’t there a compelling case to ensure that it is staged in the ‘traditional’ centr",https://www.hindustantimes.com/ht-img/img/2026/03/26/400x225/PTI11-11-2025-RPT306B-0_1762929290985_1762929331993_1774525945992.jpg,https://www.hindustantimes.com/cricket/kolkata-mumbai-overlooked-again-bcci-continues-to-turn-a-blind-eye-to-indias-iconic-test-centres-101774525457683.html
---,---,---,---
